Instance_ID	Group_ID
I0520	England_N
I2605	England_N
I2606	England_N
I3068	England_N
I5366	England_N
I5374	England_N
I6757.SG	England_N.SG
I6759.SG	England_N.SG
I6761.SG	England_N.SG
I3040_all.SG	England_N.SG
I5387_all.SG	England_N.SG
I6746_all.SG	England_N.SG
I6747_all.SG	England_N.SG
I6750_all.SG	England_N.SG
I6751_all.SG	England_N.SG
I6753_all.SG	England_N.SG
I6755_all.SG	England_N.SG
I6760_all.SG	England_N.SG
I6762_all.SG	England_N.SG
I3005	England_N_possible
I4949_published	England_N
3DT16.SG	England_Roman.SG
6DT18.SG	England_Roman.SG
6DT21.SG	England_Roman.SG
6DT22.SG	England_Roman.SG
6DT23.SG	England_Roman.SG
6DT3.SG	England_Roman.SG
I0157.SG	England_Saxon.SG
I0159.SG	England_Saxon.SG
I0161.SG	England_Saxon.SG
I0769.SG	England_Saxon.SG
I0773.SG	England_Saxon.SG
I0774.SG	England_Saxon.SG
I0777.SG	England_Saxon.SG
NO3423.SG	England_Saxon.SG
s19_0LS11_1.SG	Estonia_BA.SG
s19_V14_2.SG	Estonia_BA.SG
s19_V16_1.SG	Estonia_BA.SG
s19_V9_2.SG	Estonia_BA.SG
s19_X02_1.SG	Estonia_BA.SG
s19_X08_1.SG	Estonia_BA.SG
s19_X10_1.SG	Estonia_BA.SG
s19_X11_1.SG	Estonia_BA.SG
s19_X12_1.SG	Estonia_BA.SG
s19_X14_1.SG	Estonia_BA.SG
s19_X15_2.SG	Estonia_BA.SG
s19_X16_1.SG	Estonia_BA.SG
s19_X17_2.SG	Estonia_BA.SG
s19_X20_1.SG	Estonia_BA.SG
s19_X09_1.SG	Estonia_BA_o.SG
MA968.MA976.SG	Estonia_CordedWare.SG
MA969.SG	Estonia_CordedWare.SG
MA971.SG	Estonia_CordedWare.SG
MA973.SG	Estonia_CordedWare.SG
MA826.RISE00.SG	Estonia_CordedWare.SG
EKA1	Estonia_CWC
Kivisaare3	Estonia_EMN_Narva
Veibri4	Estonia_EMN_Narva
s19_0LS10_1.SG	Estonia_IA.SG
s19_V10_2.SG	Estonia_IA.SG
s19_V11_1.SG	Estonia_IA.SG
s19_V12_1.SG	Estonia_IA.SG
s19_V7_1.SG	Estonia_IA.SG
s19_VII4_1.SG	Estonia_IA.SG
s19_X04_1.SG	Estonia_IA.SG
s19_0LS03_1.SG	Estonia_Medieval.SG
s19_IIa_1.SG	Estonia_Medieval.SG
s19_IIf_1.SG	Estonia_Medieval.SG
s19_IIg_1.SG	Estonia_Medieval.SG
s19_IIIt_1.SG	Estonia_Medieval.SG
s19_ILS01_1.SG	Estonia_Medieval.SG
s19_IVLS09KT_1.SG	Estonia_Medieval.SG
Tamula1	Estonia_MN_CCC
Tamula3	Estonia_MN_CCC
I1381	France_BellBeaker
I1382	France_BellBeaker
I1390	France_BellBeaker
I3874	France_BellBeaker
I3875	France_BellBeaker
I1388	France_BellBeaker_lowSteppe
I1392	France_BellBeaker_lowSteppe
I1391_published	France_BellBeaker
I2575_published	France_BellBeaker
BerryAuBac	France_BerryAuBac
Chaudardes1_published_d	France_Paleo
Iboussieres25-1	France_Paleo
Iboussieres31-2	France_Paleo
I4303	France_MN
I4304	France_MN
I4305	France_MN
I4308	France_MN
Ranchot88_published_d	France_Paleo
Rigney1_published_d	France_Paleo
Rochedane_published	France_Paleo
KK1.SG	Georgia_Kotias.SG
SATP.SG	Georgia_Satsurblia.SG
I0108	Germany_BellBeaker
I5023	Germany_BellBeaker
I5527	Germany_BellBeaker
I5531	Germany_BellBeaker
I5659	Germany_BellBeaker
I5833	Germany_BellBeaker
I5836	Germany_BellBeaker
I6482	Germany_BellBeaker
I6590	Germany_BellBeaker
I6591	Germany_BellBeaker
I6624	Germany_BellBeaker
I0060_published	Germany_BellBeaker
I3602_published	Germany_BellBeaker
I3604_published	Germany_BellBeaker
I4249_published	Germany_BellBeaker
I4250_published	Germany_BellBeaker
I5655_published	Germany_BellBeaker
I5661_published	Germany_BellBeaker
I5663_published	Germany_BellBeaker
Bockstein_published_d	Germany_Bockstein
Burkhardtshohle_published_d	Germany_Burkhardtshohle
I0049	Germany_CordedWare
I0103	Germany_CordedWare
I0104	Germany_CordedWare
I0106	Germany_CordedWare
I1532	Germany_CordedWare
I1534	Germany_CordedWare
I1536	Germany_CordedWare
I1538	Germany_CordedWare
I1539	Germany_CordedWare
I1542	Germany_CordedWare
I1544	Germany_CordedWare
RISE434.SG	Germany_CordedWare.SG
RISE435.SG	Germany_CordedWare.SG
RISE436.SG	Germany_CordedWare.SG
