Instance_ID Group_ID
HGDP01289 Han
HGDP01290 Han
HGDP00976 Han
HGDP00781 Han
HGDP00774 Han
HGDP00785 Han
HGDP00974 Han
HGDP00786 Han
HGDP01293 Han
HGDP00819 Han
HGDP00817 Han
HGDP00780 Han
HGDP00815 Han
HGDP00972 Han
HGDP00820 Han
HGDP00124 Hazara
HGDP00110 Hazara
HGDP00115 Hazara
HGDP00118 Hazara
HGDP00103 Hazara
HGDP00116 Hazara
HGDP00127 Hazara
HGDP00109 Hazara
HGDP00121 Hazara
HGDP00099 Hazara
HGDP00122 Hazara
HGDP00125 Hazara
HGDP00120 Hazara
HGDP00106 Hazara
HGDP01240 Hezhen
HGDP01239 Hezhen
HGDP01242 Hezhen
HGDP01233 Hezhen
HGDP01234 Hezhen
HGDP01237 Hezhen
HGDP01238 Hezhen
HGDP01241 Hezhen
ING-1154 Ingushian
ING-1179 Ingushian
ING-1178 Ingushian
ING-1206 Ingushian
ING-1177 Ingushian
ING-1169 Ingushian
ING-1167 Ingushian
ING-1168 Ingushian
ING-1330 Ingushian
ING-1176 Ingushian
PV018 Iranian
PV016 Iranian
PV030 Iranian
PV029 Iranian
iran3 Iranian
PV037 Iranian
PV017 Iranian
PV033 Iranian
PV009 Iranian
PV014 Iranian
iran20 Iranian
PV038 Iranian
PV026 Iranian
PV031 Iranian
PV036 Iranian
PV021 Iranian
PV015 Iranian
PV011 Iranian
iran11 Iranian
PV023 Iranian
PV005 Iranian_Bandari
PV002 Iranian_Bandari
PV003 Iranian_Bandari
PV008 Iranian_Bandari
PV004 Iranian_Bandari
PV001 Iranian_Bandari
PV006 Iranian_Bandari
PV007 Iranian_Bandari
HGDP01156 Italian_North
HGDP01157 Italian_North
HGDP01174 Italian_North
HGDP01155 Italian_North
HGDP01171 Italian_North
HGDP01168 Italian_North
HGDP01172 Italian_North
HGDP01173 Italian_North
HGDP01153 Italian_North
HGDP01161 Italian_North
HGDP01177 Italian_North
HGDP01152 Italian_North
HGDP01167 Italian_North
HGDP01169 Italian_North
HGDP01147 Italian_North
HGDP01166 Italian_North
HGDP01163 Italian_North
HGDP01162 Italian_North
HGDP01151 Italian_North
HGDP01164 Italian_North
HGDP00756 Japanese
HGDP00771 Japanese
HGDP00761 Japanese
HGDP00769 Japanese
HGDP00752 Japanese
HGDP00747 Japanese
HGDP00753 Japanese
HGDP00755 Japanese
HGDP00762 Japanese
HGDP00759 Japanese
HGDP00758 Japanese
HGDP00768 Japanese
HGDP00751 Japanese
HGDP00749 Japanese
HGDP00765 Japanese
